Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า พ.ค,ค่าน้ำ (บาท),VAt7% ค่าน้ำ,ค่าไฟ (บาท),VAt7% ค่าไฟ,ค่าห้องเดือน เม.ย 2569 (บาท),หัก 5%,ค่าเช่าหลังหัก 5%,วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,Unnamed: 24,ค่าประกัน.1,ค่าเช่ารับล่วงหน้า ค่าเช่า เม.ย,ค่าเช่าห้อง เม.ย,ค่าทำความสะอาด,Vat7% ค่าทำความสะอาด,ค่าปรับ,Vat7% ค่าปรับ,ค่าน้ำ,Vat7% ค่าน้ำ,ค่าไฟ,Vat7% ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,เงินโอนคืนผู้เช่าย้ายออก,วันที่คืนเงินย้ายออก,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ
N,41,5017,Studio IN 15/3/69,1,7,2,39,1,32,,,,,30.0,2.1,256,17.92,3016.13,150.8065,2865.3235,,3171.3435,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-03-15 00:00:00,1 ปี,,,
N,42,5018,Studio IN 15/3/69,8,10,9,79,1,69,,,,,30.0,2.1,552,38.64,3016.13,150.8065,2865.3235,,3488.0635,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-03-15 00:00:00,1 ปี,,,
N,43,5019,Studio IN 11/4/69,0,0,0,0,0,0,29/4/2569,M Estate 1983859190,4500.0,4275,0.0,0.0,0,0,0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,4500.0,11/4//2569,1 ปี,,,
N,44,5020,Studio IN 11/4/69,0,0,0,0,0,0,29/4/2569,M Estate 1983859190,4500.0,4275,0.0,0.0,0,0,0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,4500.0,11/4//2569,1 ปี,,,
N,45,5021,Studio IN 31/3/69,0,0,0,0,0,0,,,,,0.0,0.0,0,0,0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-03-31 00:00:00,1 ปี,,,
N,46,5022,Studio IN 31/3/69,0,0,0,0,0,0,,,,,0.0,0.0,0,0,0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-03-31 00:00:00,1 ปี,,,
N,47,5023,Studio IN 31/3/69,0,0,0,0,0,0,,,,,0.0,0.0,0,0,0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-03-31 00:00:00,1 ปี,,,
N,48,5024,Studio IN 31/3/69,0,0,0,0,0,0,,,,,0.0,0.0,0,0,0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-03-31 00:00:00,1 ปี,,,
N,49,5025,Studio IN 31/3/69,0,0,0,0,0,0,,,,,0.0,0.0,0,0,0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-03-31 00:00:00,1 ปี,,,
N,50,5026,Studio IN 31/3/69,0,0,0,0,0,0,,,,,0.0,0.0,0,0,0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-03-31 00:00:00,1 ปี,,,
N,51,5027,Studio IN 31/3/69,0,0,0,0,0,0,,,,,0.0,0.0,0,0,0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-03-31 00:00:00,1 ปี,,,
N,52,5028,Studio IN 31/3/69,0,0,0,0,0,0,,,,,0.0,0.0,0,0,0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-03-31 00:00:00,1 ปี,,,
N,53,5029,Studio IN 31/3/69,0,0,0,0,0,0,,,,,0.0,0.0,0,0,0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-03-31 00:00:00,1 ปี,,,
N,54,5030,Studio IN 31/3/69,0,0,0,0,0,0,,,,,0.0,0.0,0,0,0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-03-31 00:00:00,1 ปี,,,
N,55,5031,Studio IN 23/3/69,0,8,1,18,1,10,,,,,30.0,2.1,80,5.6000000000000005,1596.77,79.83850000000001,1516.9315,,1634.6315,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-03-23 00:00:00,1 ปี,,,
N,56,5032,Studio IN 23/3/69,1,4,1,11,0,7,,,,,0.0,0.0,56,3.9200000000000004,1596.77,79.83850000000001,1516.9315,,1576.8515,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-03-23 00:00:00,1 ปี,,,
N,57,5033,Studio IN 23/3/69,1,4,1,16,0,12,,,,,0.0,0.0,96,6.720000000000001,1596.77,79.83850000000001,1516.9315,,1619.6515,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-03-23 00:00:00,1 ปี,,,
N,58,5034,Studio IN 23/3/69,0,3,1,13,1,10,,,,,30.0,2.1,80,5.6000000000000005,1596.77,79.83850000000001,1516.9315,,1634.6315,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-03-23 00:00:00,1 ปี,,,
N,59,5035,Studio IN 23/3/69,0,7,0,8,0,1,,,,,0.0,0.0,8,0.56,1596.77,79.83850000000001,1516.9315,,1525.4914999999999,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-03-23 00:00:00,1 ปี,,,
N,60,5036,Studio IN 23/3/69,3,3,3,19,0,16,,,,,0.0,0.0,128,8.96,1596.77,79.83850000000001,1516.9315,,1653.8915,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-03-23 00:00:00,1 ปี,,,
N,61,5037,Studio IN 11/4/69,0,0,0,0,0,0,29/4/2569,M Estate 1983859190,4500.0,4275,0.0,0.0,0,0,0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,4500.0,2569-04-11 00:00:00,1 ปี,,,
N,62,5038,Studio IN 11/4/69,0,0,0,0,0,0,29/4/2569,M Estate 1983859190,4500.0,4275,0.0,0.0,0,0,0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,4500.0,2569-04-11 00:00:00,1 ปี,,,
N,63,5039,Studio IN 11/4/69,0,0,0,0,0,0,29/4/2569,M Estate 1983859190,4500.0,4275,0.0,0.0,0,0,0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,4500.0,2569-04-11 00:00:00,1 ปี,,,
N,64,5040,Studio IN 11/4/69,0,0,0,0,0,0,29/4/2569,M Estate 1983859190,4500.0,4275,0.0,0.0,0,0,0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,4500.0,2569-04-11 00:00:00,1 ปี,,,
N,65,5041,Studio IN 11/4/69,0,0,0,0,0,0,29/4/2569,M Estate 1983859190,4500.0,4275,0.0,0.0,0,0,0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,4500.0,2569-04-11 00:00:00,1 ปี,,,
